Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
Square Japanese Hanko Chop Japanese Name Stamp Chinese Name Stamp Custom Wood Stamp Japanese Stationery Chinese Name Seal ,Craft Supplies & Tools,23.99,20,1350,202,3,3492,14,"Square,New Year Gift,Birthday Gift,Graduation Gift,Japanese Stamp,Hanko Chop,Name Stamp,Japanese Stationery,Chinese Stamp,Christmas Gift,Japanese Hanko,Japanese Signature,Japanese Chop,Birthday Gifts,Christmas Gifts,Personalized Gifts,Gifts",United States,2020-07-13,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/838077651/square-japanese-hanko-chop-japanese-name,Upgrade Pro to Unlock
"Customized Round Sandalwood Stamp, Japanese Hanko Chop, Wood Name Seal, Chinese/Korean Name Stamp, English Name Stamp ",Craft Supplies & Tools,20,4,162,64,1,693,8,"Name Stamp,Personalized Stamp,Wood Name Sign,Name Seal,Seal Stamp,Japanese Name Seal,Japanese Name Stamp,Chinese Name,Korean Name Stamp,Japanese Name,Japanese Kanji,Custom Name Stamp,Name Chop,Personalized Gifts",United States,2022-10-11,False,False,False,DancingLionsBar,https://www.etsy.com/listing/1308402150/customized-round-sandalwood-stamp,Upgrade Pro to Unlock
DIY Stone Seal Engraving Set 27 Blank  Carving Chops Carve Personal Name Chops Custom Seal Name Stamp Engraving Kit Carve ,Craft Supplies & Tools,49.99,4,50,11,0,199,0,"Square,Chinese Seal Clamp,Stone Seal,Chinese Name Seal,Chinese Chop,Chinese Stamp,Square Seal,Square Stamp,Chinese Seal,Stone Seal Blank,Stamp Chop,Japanese Chop Blank,Hanko Chop Blank,Personalized Gifts",United States,2019-12-04,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/745219626/diy-stone-seal-engraving-set-27-blank,Upgrade Pro to Unlock
Japanese Hanko Chop Chinese Name Stamp Custom Wood Stamp Japanese Stationery Chinese Name Seal ,Craft Supplies & Tools,23.99,1,182,44,0,555,0,"Christmas Gift,Graduation Gift,Birthday Gift,Hanko,Chinese Seal,Stamp,Japanese Stationery,New Year Gift,Hanko Chop,Japanese Seal,Japanese Stamp,Japanese Signature,Sumi Painting,Birthday Gifts,Christmas Gifts,Gifts for Friends,Personalized Gifts,Gifts",United States,2020-09-08,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/821786102/japanese-hanko-chop-chinese-name-stamp,Upgrade Pro to Unlock
"Customized Square Sandalwood Stamp, Japanese Hanko Chop, Wood Name Seal, Chinese/Korean Name Stamp, English Name Stamp ",Craft Supplies & Tools,25,1,260,72,1,494,4,"Name Stamp,Custom Name Stamp,Personalized Stamp,Wood Name Sign,Name Seal,Seal Stamp,Japanese Name Seal,Japanese Name Stamp,Chinese Name,Korean Name Stamp,Name Chop,Personalized Gifts",United States,2022-07-27,False,False,False,DancingLionsBar,https://www.etsy.com/listing/1275293621/customized-square-sandalwood-stamp,Upgrade Pro to Unlock
Custom Rectangle Japanese Hanko Chop - Japanese Name Stamp - Chinese Name Stamp - Chinese Name Seal - Personalized Wood Japanese Stationery ,Craft Supplies & Tools,45.99,1,30,7,0,77,1,"Japanese Stationery,Name Stamp,Japanese Hanko,Personalized Gift,Japanese Name Stamp,Wooden Stamp,Stamp With Ink,Red Circle Stamp,In Japanese,Hanko Inkan Stamp,Japanese Geek,Studying Japanese,Personalized Gifts,Gifts",United States,2022-01-09,False,False,False,ExoticMerchantCrafts,https://www.etsy.com/listing/1156888525/custom-rectangle-japanese-hanko-chop,Upgrade Pro to Unlock
DIY Stone Seal Engraving Set 16 Blank  Carving Chops Carve Personal Name Chops Custom Seal Name Stamp Engraving Kit Carve ,Craft Supplies & Tools,39.99,1,22,4,0,132,0,"Square,Stone Seal,Chinese Name Seal,Chinese Chop,Chinese Stamp,Stamp Chop,Square Seal,Square Stamp,Chinese Seal,Chinese Seal Clamp,Stone Seal Blank,Japanese Chop Blank,Hanko Chop Blank,Personalized Gifts",United States,2019-07-10,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/706407054/diy-stone-seal-engraving-set-16-blank,Upgrade Pro to Unlock
"Vintage Hanko, Seal of 'JACK', Japanese Signature Seal, red ink block, and leather case, 1940's Airforce Veteran, Unusual GIFT for your JACK ",Craft Supplies & Tools,52,0,0,0,0,0,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,Japanese Signature,Hanko Stamp,Hanko JACK stamp,JACK,Gift for Jack,Personal Gift JACK,for JACK,Air Force JACK,Glass Signature Art",United States,,False,False,False,SwanCottageAntiques,https://www.etsy.com/listing/1304863907/vintage-hanko-seal-of-jack-japanese,Upgrade Pro to Unlock
Japanese Hanko Case 2 built in or 3 built in ,Craft Supplies & Tools,25.11,0,0,0,0,9,0,"Craft Supplies & Tools,Patterns & How To,Patterns & Blueprints,Stamp,Hanko,Case,Tampon,Name Seal",Japan,,False,False,False,1000dou,https://www.etsy.com/listing/705869746/japanese-hanko-case-2-built-in-or-3,Upgrade Pro to Unlock
Nishinomiya Minami High School Commemorative Nambu Tekki Cast Iron Shuniku (朱肉) Red Ink Case For Calligraphy Hanko Chop Seal ,Art & Collectibles > Collectibles,56.41,0,0,0,0,0,0,"Art & Collectibles,Collectibles,epsteam,Nambu Tekki,Made in Japan,shuniku,stamp pad,red ink paste,calligraphy,hanko,inkan,seal,yinni,red stamp,chop",,,False,False,False,PaulsJunkCloset,https://www.etsy.com/listing/896980037/nishinomiya-minami-high-school,
