Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL,search_term,product_name,price
"Green/Pink Bangle set, 22k Gold Plated, White CZ Bangles Set, Kadas, Mix n Match bangles ",Jewelry > Bracelets > Bangles,59.0,0,7,0,0,16,0,"['Bangles Set', 'Indian Bangles', 'Traditional Bangles', 'Wedding Bangles', 'Gold Plated Bangles', 'Kadas', 'Gold Bangles', 'Bracelet Bangles', 'Indian Jewelry', 'Black Stone Bangles', 'Brides Bangles', 'Black Bead Bangles', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Christmas Gifts', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",United States,2020-02-07,False,False,False,NemaliJewelry,https://www.etsy.com/listing/762738828/greenpink-bangle-set-22k-gold-plated,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,59.0
Seed Bead Stitching - Creative Variations On Traditional Techniques By Beth Stone Paperback Beaded Jewelry Pattern Book 2007 ,Craft Supplies & Tools,8.75,0,5,0,0,4,0,"['Beading Book', 'Beaded Necklace', 'Making Jewelry', 'Beaded Jewelry', 'Beaded Bracelet', 'Beaded Earrings', 'Daisy Chain', 'Brick Stitch', 'Peyote Stitch', 'Beth Stone', 'Russian Stitches', 'Seed Bead Stitching', 'Spiral Rope Stitch']",United States,2021-06-20,False,False,False,NeedANeedle,https://www.etsy.com/listing/1024845656/seed-bead-stitching-creative-variations,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,8.75
Natural Amethyst Tyre Shape Gemstone Beads 4-6 MM Amethyst Wheel cut Beads Purple Heishi beads Amethyst Heishi Tyre Beads ,Craft Supplies & Tools,0.72,0,1,0,0,0,0,"['Craft Supplies & Tools', 'Beads', ' Gems & Cabochons', 'Beads', 'Amethyst Wheel Beads', 'Amethyst Tyre Beads', 'Amethyst 4 MM  Beads', 'Amethyst 6 MM Beads', 'Amethyst Heishi Bead', 'Amethyst Wheel Cut', 'Handmade Beads', 'Gemstone Beads', 'Stone Heishi Beads', 'Traditional Beads', 'Natural Purple Beads', 'Jewelry Making Stone', 'Amethyst 5 MM Beads']",India,,False,False,False,SBGEMSInd,https://www.etsy.com/listing/1350542675/natural-amethyst-tyre-shape-gemstone,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,0.72
"Handmade Unisex African Bracelet, African gemstone bracelet, handmade glass beads , African Jewelry, African Style gift for women, ",Jewelry > Bracelets > Beaded Bracelets,17.09,0,5,0,0,0,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'matte onyx', 'africa bead bracelet', 'gem stone bracelet', 'unisex bracelet', 'glass bead', 'african bracelet', 'matte onyx bracelet', 'traditional bracelet', 'onyx charm', 'stretch bracelet', 'turquoise bracelet', 'boho  bracelet', 'tribal bracelet']",United States,2018-02-05,False,False,False,Andyscollection,https://www.etsy.com/listing/577705094/handmade-unisex-african-bracelet-african,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,17.09
Vintage Multilayer Genuine Leather Men Bracelet Bohemia Chakra Stone Bead Bracelet Stainless Steel Jewelry Magnetic buckle Male Wrist Gift ,Weddings > Jewelry > Bracelets,27.19,0,5,0,0,13,0,"['Weddings', 'Jewelry', 'Bracelets', 'leather', 'vintage', 'stone', 'bead', 'traditional', 'wrist', 'classic', 'bohemian', 'chakra', 'bracelet', 'bracelets', 'men bracelet', 'gift']",Australia,,False,False,False,ShaanFashionz,https://www.etsy.com/listing/1234169822/vintage-multilayer-genuine-leather-men,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,27.19
"10 x 10 cm Polished Stone Sided Tile | A+++ Lapis Lazuli, large bead, Crystal Tower, Desk Accessories, Love, lapis lazuli jewelry, Lapis lazuli ",Home & Living > Home Decor > Home Accents > Rocks & Geodes,49.12,0,1,0,0,20,0,"['Lapis Lazuli Tiles', 'Blue Tiles', 'Marble Tiles', 'Natural Stone Tiles', 'Traditional Tiles', 'Mosaic Tiles', 'Large Bead', 'Crystal Towers', 'Desk Accessories', 'Love', 'Lapis Lazuli Jewelry', 'Lapis Lazuli', 'Raw Stone', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Gifts for Couples', 'Gifts for Friends', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",Canada,,False,False,False,KhorasanRug,https://www.etsy.com/listing/1450528250/10-x-10-cm-polished-stone-sided-tile-a,Upgrade Pro to Unlock,traditional stone bead jewelry,bead bracelets and necklaces,49.12
"Hubei Turquoise faceted round beads,Green Turquoise,Natural,Gemstone,DIY beads,2mm 3mm 4mm for choice,,15 ",Craft Supplies & Tools,9.0,0,20,4,0,39,0,"['Jewelry Beads', 'Stone Beads', 'Handmade Beads', 'Jewelry Accessories', 'Gemstone Jewelry', 'Gemstone Bead', 'Hubei Turquoise', 'Chinese Turquoise', 'Semiprecious Stones', 'Diy Beads', 'Loose Beads', 'Natural Beads', 'Handmade']",China,2018-10-29,False,False,False,DIYbeads888,https://www.etsy.com/listing/640863456/hubei-turquoise-faceted-round-beadsgreen,Upgrade Pro to Unlock,chinese stone bead accessories,bead bracelets and necklaces,9.0
"Blue Magnesite Smooth Round Beads,Natural,Gemstone beads,DIY Beads,4mm,15 ",Craft Supplies & Tools,4.5,0,9,0,0,7,0,"['Jewelry Beads', 'Jewelry Accessories', 'Jewelry Making Beads', 'Semiprecious Stones', 'Gemstone Beads', 'Wholesale', 'Chinese Turquoise', 'Magnesite Turquoise', 'Natural Stone Beads', 'Yoga Beads', 'Loose Bead', 'Magnesite Jasper', 'Energy Gemstone']",China,,False,False,False,DIYbeads888,https://www.etsy.com/listing/616460328/blue-magnesite-smooth-round,Upgrade Pro to Unlock,chinese stone bead accessories,bead bracelets and necklaces,4.5
"White Magnesite  Faceted(128 faces) Round Bead,Chinese Turquoise,Natural,Gemstone bead,DIY Bead,6mm 8mm 10mm 12mm for Choice,15 ",Craft Supplies & Tools,5.4,0,8,0,0,8,0,"['Jewelry Making Beads', 'Natural Stone Beads', 'Jewelry Accessories', 'Magnesite Turquoise', 'Chinese Turquoise', 'Magnesite', 'Wholesale Beads', 'Semiprecious Stones', 'Gemstone Bead', 'Yoga Beads', 'Healing Beads', 'Magnesite Jasper', 'Energy Gemstone']",China,,False,False,False,DIYbeads888,https://www.etsy.com/listing/630297439/white-magnesite-faceted128-faces-round,Upgrade Pro to Unlock,chinese stone bead accessories,bead bracelets and necklaces,5.4
"Red Cherry Creek Jasper Sterling Silver Pendant, Sterling Silver ",Jewelry > Necklaces > Pendants,39.0,0,1,0,0,11,0,"['Jewelry', 'Necklaces', 'Pendants', 'Red', 'Cherry', 'creek', 'Jasper', 'oval', 'China', 'Chinese', 'gem', 'gemstone', 'green']",United States,,False,False,False,FDLJewels,https://www.etsy.com/listing/1080856259/red-cherry-creek-jasper-sterling-silver,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,39.0
