Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Life 人生 - Printable Chinese Character Cultural Traditional Calligraphy writing Font Prints Home Wall Art, Instant Download Digital Picture ",Art & Collectibles > Drawing & Illustration > Digital,7.31,0,1,0,0,5,0,"Art & Collectibles,Drawing & Illustration,Digital,life print,Definition life,life Printable,life home wall decor,office wall decor,Minimalist Print,life Minimalist,life handwriting,life font brushed,wall art poster,life art poster,life word art,home wall decor",,,no,no,no,Colinbrush,https://www.etsy.com/listing/1033851230/life-ren-shng-printable-chinese,
Snake 蛇 Chinese Zodiac Sign Calligraphy Horoscope Symbol Digital Print Instant Download Wall Art Minimal Decor Birthday Gift Card ,Art & Collectibles > Prints > Digital Prints,3.82,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,student room decor,snake wall art,snake symbol print,chinese zodiac snake,chinese calligraphy,snake zodiac print,horoscope wall art,snake character art,chinese wall art,snake birthday card,custom kanji art,snake word symbol,chinese sign art",Philippines,2023-03-02,no,no,no,CalligraphyRoom,https://www.etsy.com/listing/1414990842/snake-she-chinese-zodiac-sign,Upgrade Pro to Unlock
"Chinese Character Origin, Printable Design, Digital Download Print, Wall Art, Best Friend Gift, Colorful Art, Original Artwork, Red and Blue ",Art & Collectibles > Prints > Digital Prints,5,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,digital art,downloadable artwork,wall art,home decor,colorful art,best friend gift,love and friendship,chinese character,chinese symbol,printable design,original artwork,red and blue,origin",United States,,no,no,no,RichKoesterArt,https://www.etsy.com/listing/709513506/chinese-character-origin-printable,Upgrade Pro to Unlock
Traditional Chinese Calligraphy/Chinese Character of BRAVE/5 Calligraphy Styles/Jpg Png Svg For Your Own Use/Printing/Engraving/Designing ,Art & Collectibles > Prints > Digital Prints,1.37,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,Chinese characters,Chinese calligraphy,Chinese handwriting,Chinese words,custom tattoo,Chinese tattoo,Chinese svg png jpg,svg png jpg design,Chinese font,tattoo letters,character design,brave in Chinese,Chinese word tattoo",Australia,2022-05-02,no,no,no,BrushmanStudio,https://www.etsy.com/listing/1211710126/traditional-chinese-calligraphychinese,Upgrade Pro to Unlock
Year of the Goat (羊) Chinese Zodiac Lunar New Year Print / Poster ,Art & Collectibles > Prints > Digital Prints,25,0,0,0,0,4,0,"Art & Collectibles,Prints,Digital Prints,lunar new year,chinese zodiac,chinese new year,kanji,horoscope art,nursery decor,kids wall art,graphic animal art,year of the goat,year of the sheep,year of the ram,chinese character",United States,2020-09-01,no,no,no,HopeMengDesign,https://www.etsy.com/listing/863840969/year-of-the-goat-yang-chinese-zodiac,Upgrade Pro to Unlock
FAITH HOPE LOVE | Set of 3 Chinese Character Prints | Instant Download | Printable Wall Art ,Art & Collectibles > Prints > Digital Prints,12,0,1,0,0,8,0,"Art & Collectibles,Prints,Digital Prints,dorm,poster,printable,watercolor,christian art,jesus,bible verses,bible quotes,pink wall art,chinese,japanese,christian poster,minimalist",United States,,no,no,no,JemCityStudio,https://www.etsy.com/listing/716804807/faith-hope-love-set-of-3-chinese,Upgrade Pro to Unlock
"Chinese Character Peaceful, Chinese Symbols, Printable Design, Digital Download, Wall Art, Best Friend Gift, Colorful Art, Original Artwork ",Art & Collectibles > Prints > Digital Prints,5,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,digital art,downloadable artwork,wall art,home decor,colorful art,best friend gift,love and friendship,chinese character,chinese symbol,printable design,original artwork,red and blue,peaceful",United States,,no,no,no,RichKoesterArt,https://www.etsy.com/listing/709514478/chinese-character-peaceful-chinese,Upgrade Pro to Unlock
"Antique Japanese Museum Art Print, Modern Oriental Wall Art, Vintage Woodblock Painting with Japanese Characters, Retro Asian Decor, Digital ",Art & Collectibles > Prints > Digital Prints,2.37,0,0,0,0,3,0,"Art & Collectibles,Prints,Digital Prints,Chinese calligraphy,Japanese character,Art Exhibition Large,Unique home decor,Japan printable,Modern contemporary,11x14 16x20 24x36,Wood block artwork,Japanese poster,black and white art,Taguchi Tomoki  art,Instant download,edo period simple",Canada,,no,no,no,ACupOfDigitalPrint,https://www.etsy.com/listing/1459854693/antique-japanese-museum-art-print-modern,Upgrade Pro to Unlock
"Longevity 壽寿 - Printable Chinese Character Calligraphy writing, Calligraphy Art Prints, Home Wall Art, Instant Download Digital Picture ",Art & Collectibles > Prints > Digital Prints,4.76,0,16,0,0,35,0,"Wall Art,Wall Decoration,Quote Print,Chinese Writing,Calligraphy Print,Asian Decoration,Black White Print,Asian Art,Longevity,Chinese Calligraphy,Japaness Calligraphy,Gifts",United States,2020-04-14,no,no,no,GreenLifePrints,https://www.etsy.com/listing/781763130/longevity-shou-shou-printable-chinese,Upgrade Pro to Unlock
"Life 人生 - Printable Chinese Character Cultural Traditional Calligraphy writing Font Prints Home Wall Art, Instant Download Digital Picture ",Art & Collectibles > Drawing & Illustration > Digital,7.36,0,0,0,0,5,0,"Life Print,Life Printable,Office Wall Decor,Minimalist Print,Wall Art Poster,Home Wall Decor,Definition Life,Life Home Wall Decor,Life Minimalist,Life Handwriting,Life Font Brushed,Life Art Poster,Life Word Art",United States,,no,no,no,Colinbrush,https://www.etsy.com/listing/1033851230/life-ren-shng-printable-chinese,Upgrade Pro to Unlock
