Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Beginner’s mind, Shoshin, Original Japanese Calligraphy, kanji,Shodo, Zen Decor,Wall Art, Gift ,Japanese Art ",Art & Collectibles > Painting > Ink,40,23,29,6,0,61,0,"Zen Art,Beginners Mind,Shoshin,Japanese Art,Zen Decor,Shodo,Kanji,Saying,Zen Circle,Zen,Japanese Calligraphy,Zen Art Calligraphy,Enso,Gifts",United States,2020-09-25,no,no,no,ZenArtCalligraphy,https://www.etsy.com/listing/876216597/beginners-mind-shoshin-original-japanese,Upgrade Pro to Unlock
"Love Mandala - Hebrew Calligraphy Art, Fine Art Print, Mindfulness Wall Decor, Zen Wall Art, Mandala Art , Unique Gift For All Occasions. ",Home & Living > Home Decor > Wall Decor,39.15,4,155,55,2,487,11,"Hebrew Calligraphy,Thank You Gifts,Birthday Gifts,Handmade Mandala,Calligraphy Art,Mindfulness Gift,Israeli Art,Love,Mandala Wall Art,Jewish Art,Stand With Israel,Spiritual Art Gift,Gist for Hanukkah,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Kids,Gifts for Teachers,Housewarming Gifts,Personalized Gifts,Gifts",Israel,2022-02-17,no,no,no,ShiriLanzerArt,https://www.etsy.com/listing/1166588216/love-mandala-hebrew-calligraphy-art-fine,Upgrade Pro to Unlock
"Extra-large calligraphy art Japanese painting good luck tiger and bamboo hanging scroll, ZEN style Sumie art Kakejiku wall decor ",Art & Collectibles > Painting > Mixed,500,0,1,0,0,4,0,"Art & Collectibles,Painting,Mixed,black ink wall art,Sumie art painting,traditional art,Japanese painting,impressive gift,Japan scenery art,Calligraphy ink art,Kakejiku kakemono,Japanese wall art,ZEN style wall decor,big hanging scroll,Japan souvenir,Exotic unique style",Japan,2021-01-06,no,no,no,JapanCrossBridge,https://www.etsy.com/listing/937305591/extra-large-calligraphy-art-japanese,Upgrade Pro to Unlock
"Night sky, Abstraction, Cosmos, Japanese ink painting, Nature decor, Hand printed, Gift ideas, Unique decor,House decor, Wall decor ",Art & Collectibles > Painting > Ink,99,0,0,0,0,0,0,"Art & Collectibles,Painting,Ink,Japanese calligraphy,Hand printed,Gift ideas,Original work,House decor,Handmade decor,Personalized gifts,Wall art,Wall decor,Zen Universe,Ink painting,Gift for him,Gift for her",Latvia,,no,no,no,IGyotaku,https://www.etsy.com/listing/1521841610/night-sky-abstraction-cosmos-japanese,Upgrade Pro to Unlock
Marble White Islamic Wall Art With Arabic Calligraphy- Zen Islamic Wall Decor Set of 3 Wall Art ,Home & Living > Home Decor > Wall Decor > Wall Hangings,46.61,0,0,0,0,10,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,islamic wall art,islamic home decor,arabic wall art,quran wall art,arabic art,arabic calligraphy,islamic art,islamic wall decor,muslim art,modern islamic art,islamic modern art,calligraphy arabic,islamic decoration",Canada,,no,no,no,MariamArabicWallArt,https://www.etsy.com/listing/1278989468/marble-white-islamic-wall-art-with,Upgrade Pro to Unlock
"七福神, Shichihukujin, Seven Gods, shikishi , Original, Japanese Calligraphy, Shodo, Kanji, Zen, Good Luck Kanji, Good Fortune, Wall Deco Art ",Home & Living > Home Decor > Wall Decor > Wall Hangings,88,0,0,0,0,0,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,Black and White,Shodo,Japanese Calligraphy,zen,wabisabi,wall deco,gift,Valentine,present,original art,sumi,aroma therapy,good luck",,,no,no,no,ZenRiverArt,https://www.etsy.com/listing/1139509152/q-fu-shen-shichihukujin-seven-gods,
"God Chinese Calligraphy/Character Shen神–Handwritten Calligraphy,Study Living room Wall Decor,silence,calm,peace,Taoism-Zen Art ",Art & Collectibles > Painting > Ink,49.99,0,0,0,0,6,0,"Art & Collectibles,Painting,Ink,Chinese Painting,abstract art,ink painting,Chinese decor,Original artwork,Original painting,Chinese calligraphy,original Character,handwritten,original Calligraphy,Large painting,Minimalism,black and white",China,2019-03-22,no,no,no,SandyHeCube,https://www.etsy.com/listing/678495094/god-chinese-calligraphycharacter-shen,Upgrade Pro to Unlock
Printable Chinese Brush Calligraphy Black Ink Wall Art Digital Download Poster Home Decor Zen Calligraphy Asian Mediation Art Design Gifts ,Art & Collectibles > Prints > Digital Prints,1.91,0,2,0,0,2,0,"Art & Collectibles,Prints,Digital Prints,chinese brush art,calligraphy art,black ink brush,zen calligraphy,calligraphy design,typography print,home decor,wall hangings,poster design,digital print,japanese poster art,handwriting design,daily reminder quote",Malaysia,,no,no,no,JKSuperstore,https://www.etsy.com/listing/1490347779/printable-chinese-brush-calligraphy,Upgrade Pro to Unlock
Chinese Character Printable | Qi Wall Art | Spiritual Printable | Japanese Wall Decor ** Instant Download ** ,Art & Collectibles > Prints > Digital Prints,3.74,0,8,0,0,11,0,"Art & Collectibles,Prints,Digital Prints,Yoga Wall Art,Spiritual Print,Zen printable,Spiritual Wall Decor,Zen Wall Decor,Japanse Art Print,Spiritual Poster,Chinese Calligraphy,Qi Poster,Oriental Wall Art,Kanji,Chinese Art,Asian Art",,2021-06-14,no,no,no,WayToSamadhi,https://www.etsy.com/listing/1021909540/chinese-character-printable-qi-wall-art,
"Zen Art, ENSO Circle, Chinese Calligraphy, downloadable print, Japanese wall decor, Minimalist, Spirituality, Peace and Meditation ",Art & Collectibles > Prints > Digital Prints,4.84,0,3,0,0,7,0,"Art & Collectibles,Prints,Digital Prints,art and collectible,yoga wall decor,spiritual wall art,spiritual decor,zen wall art,zen decor,poster,yoga poster,downloadable print,calligraphy,asian calligraphy,asian wall art,yoga art",United States,,no,no,no,OmniLightArtPrint,https://www.etsy.com/listing/764303008/zen-art-enso-circle-chinese-calligraphy,Upgrade Pro to Unlock
